#ObjectName,RA,Dec,RA_deg,Dec_deg,l_cz,cz,z,z_uncertainty,z_Qual,ANG_SIZE_MAJ,ANG_SIZE_MIN
HCG56b,11:32:40.25,+52:57:01.4,173.16770833333334,52.95038888888889,,7919,0.026415,1.27E-4,,0.65,0.36
HCG56c,11:32:36.73,+52:56:51.7,173.15304166666667,52.947694444444444,,8110,0.027052,9.3E-5,,0.74,0.56
HCG56d,11:32:35.33,+52:56:50.1,173.1472083333333,52.94724999999999,,8346,0.027839,1.87E-4,,0.42,0.26
HCG56e,11:32:32.77,+52:56:21.4,173.13654166666666,52.939277777777775,,7988,0.026645,9.9E-5,,0.44,0.31
HCG57a,11:37:53.90,+21:58:53.0,174.47458333333333,21.981388888888887,,8727,0.02911,1.03E-4,,1.7,0.5
HCG57b,11:37:43.62,+22:00:35.4,174.43174999999997,22.00983333333333,,9022,0.030094,6.7E-5,,1.1,0.5
HCG57c,11:37:51.64,+21:58:27.3,174.46516666666665,21.974249999999998,,9081,0.030291,1.2E-4,,0.8,0.7
HCG57d,11:37:54.92,+21:59:07.8,174.4788333333333,21.985500000000002,,8977,0.029944,1.37E-4,,0.4,0.3
HCG57e,11:37:49.06,+22:01:34.1,174.45441666666667,22.026138888888887,,8816,0.029407,6.3E-5,,0.7,0.4
HCG57f,11:37:53.86,+21:56:11.3,174.47441666666666,21.93647222222222,,9394,0.031335,1.3E-4,,0.69,0.4
HCG57g,11:37:44.43,+22:01:16.6,174.435125,22.02127777777778,,9463,0.031565,7.7E-5,,0.4,0.2
HCG57h,11:37:50.50,+22:00:45.2,174.46041666666665,22.012555555555554,,9240,0.030821,3.5E-4,,0.33,0.28
HCG58a,11:42:11.11,+10:16:40.0,175.54629166666666,10.277777777777779,,6267,0.020904,2.0E-5,,1.4,0.8
HCG58b,11:42:23.73,+10:15:50.9,175.59887499999996,10.264138888888889,,6503,0.021692,5.7E-5,,1.68,0.96
HCG58c,11:41:52.95,+10:18:15.8,175.47062499999996,10.304388888888887,,6103,0.020357,6.3E-5,,1.09,0.84
HCG58d,11:42:05.86,+10:21:04.1,175.52441666666667,10.351138888888887,,6274,0.020928,3.7E-5,,0.91,0.73
HCG58e,11:42:04.91,+10:23:03.3,175.52045833333332,10.38425,,6102,0.020355,1.1E-4,,0.65,0.5
HCG59a,11:48:27.52,+12:43:38.6,177.11466666666664,12.72738888888889,,4109,0.013706,1.03E-4,,0.59,0.54
HCG59b,11:48:20.12,+12:42:59.7,177.08383333333336,12.716583333333332,,4004,0.013356,8.7E-5,,0.5,0.5
HCG59c,11:48:32.45,+12:42:19.1,177.1352083333333,12.705305555555556,,4394,0.014656,8.6E-5,,0.9,0.29
HCG59d,11:48:30.66,+12:43:47.3,177.12775,12.729805555555556,,3635,0.012125,1.16E-4,,0.69,0.43
HCG60a,12:03:07.12,+51:40:30.6,180.77966666666669,51.67516666666667,,19007,0.063401,1.53E-4,,0.58,0.45
HCG60b,12:02:56.53,+51:41:42.0,180.73554166666662,51.695,,18396,0.061363,1.77E-4,,0.38,0.21
HCG60c,12:03:06.93,+51:41:07.6,180.77887500000003,51.68544444444445,,19277,0.064301,6.0E-4,,0.37,0.26
HCG60d,12:03:09.62,+51:40:41.4,180.79008333333334,51.67816666666667,,18223,0.060785,1.57E-4,,0.34,0.28
HCG62a,12:53:05.81,-09:12:13.8,193.27420833333332,-9.203833333333334,,4259,0.014206,3.3E-5,,0.7,0.5
HCG62b,12:53:04.46,-09:11:59.7,193.2685833333333,-9.199916666666667,,3561,0.011878,6.0E-5,,2.6,2.0
HCG62c,12:53:09.81,-09:11:52.1,193.290875,-9.197805555555554,,4432,0.014784,5.7E-5,,0.4,0.3
HCG62d,12:53:06.63,-09:15:27.5,193.27762500000003,-9.25763888888889,,4174,0.013923,1.1E-4,,0.66,0.56
HCG65a,13:29:50.93,-29:30:52.7,202.4622083333333,-29.514638888888886,,13735,0.045815,1.0E-5,,1.4,0.8
HCG65b,13:29:54.80,-29:29:48.9,202.47833333333332,-29.496916666666667,,14662,0.048907,1.5E-4,,0.91,0.4
HCG65c,13:29:53.17,-29:29:30.7,202.47154166666667,-29.49186111111111,,14147,0.047189,1.5E-4,,0.63,0.49
HCG65d,13:29:52.12,-29:30:47.3,202.46716666666669,-29.513138888888893,,13733,0.04581,9.0E-6,,0.33,0.23
HCG65e,13:29:55.43,-29:29:29.6,202.48095833333332,-29.491555555555554,,14405,0.04805,3.57E-4,,0.15,0.15
HCG66a,13:38:38.25,+57:18:44.3,204.659375,57.312305555555554,,20688,0.069008,1.2E-4,,0.45,0.39
HCG66b,13:38:40.38,+57:18:45.1,204.66825,57.31252777777778,,21440,0.071515,1.74E-4,,0.49,0.27
HCG66c,13:38:35.11,+57:18:29.4,204.64629166666666,57.308166666666665,,20801,0.069385,2.47E-4,,0.32,0.16
HCG66d,13:38:34.42,+57:18:15.6,204.64341666666667,57.30433333333333,,20666,0.068935,1.76E-4,,0.17,0.12
HCG67a,13:49:11.40,-07:13:27.8,207.29749999999999,-7.224388888888889,,7213,0.02406,4.3E-5,,1.96,1.81
HCG67b,13:48:59.46,-07:11:41.8,207.24775,-7.1949444444444435,,7588,0.025311,3.3E-5,,2.1,0.4
HCG67c,13:49:12.28,-07:12:32.8,207.30116666666666,-7.209111111111111,,7528,0.025111,7.7E-5,,0.7,0.3
HCG67d,13:49:09.80,-07:13:54.3,207.29083333333338,-7.231749999999999,,7101,0.023686,7.3E-5,,0.55,0.33
HCG68a,13:53:26.69,+40:16:58.9,208.3612083333333,40.283027777777775,,2325,0.007755,1.0E-5,,2.2,1.1
HCG68b,13:53:26.70,+40:18:09.9,208.36125000000004,40.30275,,2579,0.008603,4.3E-5,,1.4,1.3
HCG68c,13:53:21.63,+40:21:50.2,208.340125,40.36394444444445,,2321,0.007742,7.0E-6,,3.2,2.3
HCG68d,13:53:45.56,+40:20:19.2,208.43983333333333,40.33866666666667,,2344,0.007819,1.7E-5,,1.12,0.72
HCG68e,13:54:00.41,+40:16:38.3,208.50170833333334,40.27730555555556,,2412,0.008046,1.7E-5,,1.24,0.49
HCG69a,13:55:29.76,+25:04:25.2,208.874,25.073666666666668,,8856,0.02954,1.6E-4,,1.58,0.37
HCG69b,13:55:34.39,+25:02:59.2,208.89329166666667,25.049777777777777,,8724,0.0291,9.0E-5,,0.59,0.38
HCG69c,13:55:32.57,+25:04:27.7,208.88570833333335,25.074361111111116,,8546,0.028506,1.47E-4,,0.45,0.37
HCG69d,13:55:28.38,+25:04:24.9,208.86825000000002,25.073583333333332,,8859,0.029552,1.64E-4,,0.11,0.09
HCG70d,14:04:09.85,+33:20:45.5,211.04104166666667,33.34597222222222,,18846,0.062863,1.63E-4,,0.48,0.4
HCG70e,14:04:05.87,+33:19:14.6,211.02445833333334,33.32072222222222,,19117,0.063767,1.83E-4,,0.4,0.4
HCG70f,14:04:04.32,+33:19:45.2,211.018,33.32922222222222,,19243,0.064188,4.34E-4,,0.26,0.21
HCG70g,14:04:00.12,+33:19:54.3,211.0005,33.33175,,19010,0.063411,3.0E-4,,0.24,0.21
HCG72a,14:47:53.39,+19:04:37.5,221.9724583333333,19.077083333333334,,12506,0.041716,1.2E-4,,0.5,0.1
HCG72b,14:47:54.92,+19:03:36.1,221.9788333333333,19.060027777777776,,12356,0.041215,1.27E-4,,0.52,0.22
HCG72c,14:47:56.81,+19:02:42.3,221.9867083333333,19.045083333333334,,13062,0.04357,1.33E-4,,0.6,0.2
HCG72d,14:47:55.64,+19:03:26.2,221.9818333333333,19.057277777777777,,12558,0.041889,1.5E-4,,0.2,0.2
HCG72f,14:47:55.11,+19:02:50.7,221.97962499999997,19.04741666666667,,13950,0.046532,3.44E-4,,0.3,0.2
HCG74a,15:19:24.74,+20:53:46.8,229.85308333333333,20.896333333333335,,12255,0.040878,1.0E-4,,0.82,0.77
HCG74b,15:19:24.26,+20:53:26.9,229.85108333333335,20.890805555555556,,11976,0.039948,7.0E-5,,0.62,0.43
HCG74c,15:19:25.84,+20:53:58.3,229.85766666666666,20.899527777777777,,12266,0.040915,1.43E-4,,0.45,0.3
HCG74d,15:19:31.79,+20:53:00.8,229.8824583333333,20.883555555555557,,11681,0.038964,1.4E-4,,0.33,0.26
HCG74e,15:19:27.79,+20:54:32.0,229.8657916666667,20.90888888888889,,11489,0.038323,3.24E-4,,0.2,0.13
HCG75a,15:21:30.25,+21:11:28.4,230.37604166666668,21.191222222222226,,12538,0.041822,1.4E-4,,0.73,0.53
HCG75b,15:21:30.43,+21:11:32.8,230.3767916666667,21.192444444444444,,12228,0.040788,1.43E-4,,0.63,0.17
HCG75c,15:21:38.79,+21:10:37.1,230.411625,21.176972222222226,,12292,0.041002,1.87E-4,,0.35,0.23
HCG75d,15:21:37.20,+21:10:53.5,230.40499999999994,21.181527777777777,,12334,0.041142,1.4E-4,,0.33,0.18
HCG75e,15:21:34.11,+21:10:44.5,230.39212500000002,21.179027777777772,,12300,0.041028,0.001001,,0.4,0.18
HCG75f,15:21:29.83,+21:11:07.8,230.3742916666667,21.1855,,13080,0.04363,2.23E-4,:,0.21,0.17
HCG75h,15:21:31.77,+21:10:10.6,230.38237499999997,21.16961111111111,,12191,0.040664,,,0.22,0.13
HCG76a,15:31:47.60,+07:18:29.3,232.9483333333334,7.308138888888888,,10088,0.03365,9.3E-5,,0.7,0.2
HCG76b,15:31:40.24,+07:20:20.4,232.9176666666667,7.339000000000001,,10002,0.033363,1.0E-4,,0.68,0.55
HCG76c,15:31:36.82,+07:18:44.7,232.90341666666666,7.312416666666667,,10663,0.035568,9.7E-5,,0.71,0.67
HCG76d,15:31:42.22,+07:17:14.6,232.92591666666664,7.287388888888889,,10194,0.034004,9.7E-5,,0.58,0.49
HCG76e,15:31:50.20,+07:18:41.8,232.95916666666668,7.311611111111112,,10328,0.03445,1.73E-4,,0.27,0.25
HCG76f,15:31:39.50,+07:20:09.4,232.91458333333338,7.335944444444444,,10216,0.034077,3.0E-4,,0.47,0.32
HCG76g,15:31:36.05,+07:20:59.1,232.9002083333333,7.349750000000002,,9843,0.032833,2.7E-4,,1.2,0.21
HCG79a,15:59:11.14,+20:45:17.5,239.79641666666663,20.75486111111111,,4560,0.01521,2.7E-5,,0.5,0.4
HCG79b,15:59:12.54,+20:45:48.1,239.80225,20.763361111111113,,4447,0.014834,3.7E-5,,0.4,0.2
HCG79c,15:59:10.83,+20:45:43.9,239.79512499999998,20.762194444444443,,4053,0.013519,2.7E-5,,0.4,0.2
HCG79d,15:59:11.87,+20:44:51.4,239.79945833333332,20.74761111111111,,4620,0.015412,1.0E-5,,0.9,0.2
HCG79f,15:59:14.48,+20:45:57.3,239.81033333333335,20.765916666666662,,4095,0.013659,1.37E-4,,0.8,0.4
HCG80a,15:59:19.04,+65:13:57.4,239.82933333333335,65.23261111111113,,8975,0.029938,1.5E-5,,0.85,0.18
HCG80b,15:59:21.62,+65:13:22.8,239.8400833333333,65.223,,9584,0.031969,1.3E-4,,0.34,0.29
HCG80c,15:59:07.05,+65:14:01.5,239.779375,65.23375,,9550,0.031855,1.23E-4,,0.33,0.27
HCG80d,15:59:12.04,+65:13:19.1,239.8001666666667,65.2219722222222,,9108,0.030381,1.8E-4,,0.45,0.18
HCG81a,16:18:13.64,+12:48:10.3,244.55683333333337,12.802861111111111,,14676,0.048954,1.53E-4,,0.4,0.15
HCG81b,16:18:14.13,+12:47:19.2,244.558875,12.788666666666664,,15150,0.050535,3.14E-4,,0.39,0.18
HCG81c,16:18:14.82,+12:47:35.8,244.56175,12.793277777777778,,14930,0.049801,1.81E-4,,0.4,0.3
HCG81d,16:18:14.61,+12:47:44.1,244.560875,12.795583333333331,,14954,0.049881,3.04E-4,,0.26,0.23
HCG82a,16:28:22.37,+32:50:57.6,247.0932083333333,32.849333333333334,,11177,0.037282,1.0E-4,,0.9,0.7
HCG82b,16:28:27.91,+32:50:47.0,247.11629166666668,32.84638888888889,,10447,0.034847,1.23E-4,,0.81,0.57
HCG82c,16:28:20.63,+32:48:38.3,247.08595833333334,32.81063888888889,,10095,0.033673,1.27E-4,,0.84,0.32
HCG82d,16:28:16.88,+32:48:47.8,247.07033333333328,32.81327777777778,,11685,0.038977,1.53E-4,,0.49,0.19
HCG83a,16:35:36.31,+06:15:55.3,248.90129166666662,6.265361111111111,,15560,0.051903,2.0E-4,,0.26,0.26
HCG83b,16:35:40.25,+06:15:44.3,248.91770833333337,6.262305555555556,,16442,0.054845,2.3E-4,,0.3,0.23
HCG83c,16:35:43.15,+06:16:44.5,248.9297916666667,6.2790277777777765,,16520,0.055105,4.44E-4,,0.26,0.14
HCG83d,16:35:41.09,+06:15:32.5,248.9212083333333,6.259027777777777,,15500,0.051702,4.44E-4,:,0.12,0.1
HCG84a,16:44:22.82,+77:50:19.5,251.09508333333335,77.83875,,16654,0.055552,2.03E-4,,0.59,0.49
HCG84b,16:44:13.40,+77:51:31.1,251.05583333333337,77.85863888888889,,16554,0.055218,2.44E-4,,0.48,0.21
HCG84c,16:44:30.00,+77:49:48.9,251.12500000000003,77.83025,,16353,0.054548,2.37E-4,,0.5,0.25
HCG84d,16:44:02.44,+77:51:23.3,251.01016666666663,77.85647222222222,,16800,0.056039,3.07E-4,,0.27,0.15
HCG84e,16:44:26.93,+77:50:17.0,251.1122083333333,77.83805555555556,,16950,0.056539,2.7E-4,,0.15,0.15
HCG85a,18:50:18.45,+73:21:05.2,282.576875,73.35144444444444,,11155,0.037209,1.27E-4,,0.53,0.49
HCG85b,18:50:26.33,+73:20:42.7,282.60970833333334,73.34519444444445,,12122,0.040435,1.2E-4,,0.44,0.41
HCG85c,18:50:29.68,+73:21:27.4,282.6236666666667,73.35761111111111,,11912,0.039734,1.57E-4,,0.3,0.14
HCG85d,18:50:36.07,+73:20:57.0,282.65029166666665,73.34916666666666,,11900,0.039694,3.2E-4,,0.22,0.21
HCG86a,19:52:08.77,-30:49:32.7,298.0365416666666,-30.82575,,6013,0.020057,3.7E-5,,1.2,0.7
HCG86b,19:51:59.06,-30:48:58.4,297.99608333333333,-30.81622222222222,,5863,0.019557,3.0E-5,,0.74,0.55
HCG86c,19:51:57.46,-30:51:25.0,297.98941666666667,-30.856944444444444,,5317,0.017736,1.17E-4,,0.57,0.44
HCG86d,19:51:51.94,-30:48:30.4,297.96641666666665,-30.808444444444444,,5923,0.019757,6.0E-5,,0.62,0.32
HCG87a,20:48:15.00,-19:50:57.9,312.06250000000006,-19.849416666666666,,8443,0.028164,4.7E-5,,1.6,0.3
HCG87b,20:48:10.93,-19:51:23.1,312.0455416666667,-19.856416666666668,,8738,0.029147,7.7E-5,,0.7,0.6
HCG87c,20:48:11.99,-19:49:55.9,312.04995833333334,-19.832194444444443,,8914,0.029733,2.2E-5,,0.7,0.2
HCG87d,20:48:12.77,-19:50:46.1,312.0532083333333,-19.846138888888888,,10200,0.034024,5.34E-4,:,0.26,0.19
HCG88a,20:52:35.43,-05:42:40.1,313.147625,-5.711138888888889,,6033,0.020124,8.3E-5,,1.77,0.65
HCG88b,20:52:29.71,-05:44:46.0,313.1237916666667,-5.746111111111111,,6192,0.020655,5.0E-5,,1.22,0.9
HCG88c,20:52:26.03,-05:46:20.3,313.1084583333334,-5.772305555555556,,5956,0.019868,2.1E-5,,0.98,0.84
HCG88d,20:52:12.77,-05:47:54.0,313.0532083333333,-5.798333333333333,,6041,0.020152,1.4E-5,,0.7,0.29
HCG89a,21:20:01.03,-03:55:19.7,320.0042916666667,-3.9221388888888895,,8808,0.029381,2.6E-5,,0.9,0.6
HCG89b,21:20:19.15,-03:53:45.7,320.07979166666667,-3.8960277777777783,,8884,0.029634,1.5E-4,,0.7,0.34
HCG89c,21:20:08.35,-03:55:03.4,320.0347916666667,-3.917611111111111,,8872,0.029594,1.33E-4,,0.48,0.29
HCG89d,21:20:08.02,-03:54:30.1,320.03341666666665,-3.908361111111111,,8857,0.029544,1.07E-4,,0.27,0.17
HCG90a,22:02:01.89,-31:52:10.8,330.507875,-31.86966666666667,,2603,0.008683,4.0E-5,,2.5,1.4
HCG90b,22:02:08.44,-31:59:23.1,330.53516666666667,-31.989749999999997,,2511,0.008376,4.7E-5,,1.0,0.8
HCG90c,22:02:03.19,-31:58:25.3,330.5132916666667,-31.973694444444444,,2497,0.008329,4.0E-5,,1.2,0.9
HCG90d,22:02:06.45,-31:59:34.7,330.52687499999996,-31.992972222222225,,2659,0.008869,3.0E-5,,2.3,1.2
HCG91a,22:09:07.68,-27:48:34.1,332.2819999999999,-27.809472222222222,,6934,0.023128,3.3E-5,,2.2,1.4
HCG91b,22:09:16.27,-27:43:49.2,332.3177916666667,-27.730333333333334,,7267,0.02424,1.03E-4,,1.1,0.2
HCG91c,22:09:14.01,-27:46:55.9,332.308375,-27.782194444444443,,7190,0.023983,3.3E-5,,0.8,0.55
HCG91d,22:09:08.40,-27:48:01.6,332.285,-27.800444444444445,,7315,0.0244,7.3E-5,,0.4,0.3
HCG92b,22:35:58.41,+33:57:57.2,338.99337500000007,33.96588888888889,,5774,0.01926,8.0E-5,,1.9,1.2
HCG92c,22:36:03.55,+33:58:32.6,339.0147916666667,33.975722222222224,,6747,0.022507,1.2E-5,,1.7,1.3
HCG92d,22:35:56.75,+33:57:55.7,338.98645833333336,33.965472222222225,,6630,0.022115,7.7E-5,,0.9,0.9
HCG92e,22:35:51.88,+33:56:41.6,338.96616666666665,33.9448888888889,,6599,0.022012,8.7E-5,,1.1,1.1
HCG92f,22:36:20.37,+33:59:05.9,339.084875,33.984972222222225,,5985,0.019964,3.0E-5,,0.7,0.6
HCG93a,23:15:16.01,+18:57:42.5,348.81670833333334,18.96180555555556,,5072,0.016918,6.7E-5,,1.4,1.2
HCG93b,23:15:17.23,+19:02:30.1,348.82179166666674,19.041694444444445,,4736,0.015799,1.1E-5,,2.8,0.7
HCG93c,23:15:03.40,+18:58:24.4,348.7641666666667,18.973444444444443,,4772,0.015918,3.3E-5,,1.1,0.5
HCG93d,23:15:33.09,+19:02:53.4,348.88787499999995,19.048166666666667,,5173,0.017255,1.13E-4,,0.7,0.6
HCG94a,23:17:13.56,+18:42:29.7,349.30649999999997,18.70825,,12045,0.040178,1.07E-4,,1.0,1.0
HCG94b,23:17:11.94,+18:42:04.7,349.29975,18.701305555555557,,12068,0.040254,1.07E-4,,1.4,1.4
HCG94c,23:17:20.24,+18:44:05.5,349.3343333333334,18.734861111111112,,11919,0.039757,8.3E-5,,0.67,0.29
HCG94d,23:17:15.18,+18:42:43.0,349.31325,18.711944444444445,,13028,0.043457,8.0E-5,,0.31,0.19
HCG94e,23:17:15.43,+18:43:38.7,349.31429166666663,18.727416666666667,,12250,0.040862,3.44E-4,,0.49,0.12
HCG94f,23:17:18.48,+18:44:22.6,349.327,18.73961111111111,,13038,0.04349,7.3E-5,,0.23,0.17
HCG94g,23:17:19.91,+18:44:58.1,349.3329583333334,18.749472222222227,,13200,0.04403,3.8E-4,,0.2,0.11
HCG95a,23:19:30.05,+09:30:29.6,349.8752083333333,9.508222222222221,,11879,0.039624,9.7E-5,,0.88,0.65
HCG95c,23:19:31.09,+09:30:10.7,349.8795416666667,9.502972222222223,,11562,0.038567,1.33E-4,,0.95,0.31
HCG95d,23:19:27.84,+09:29:39.7,349.86599999999993,9.494361111111111,,12350,0.041195,3.24E-4,,0.74,0.15
HCG96a,23:27:56.72,+08:46:44.5,351.98633333333333,8.779027777777777,,8671,0.028924,3.0E-5,,1.1,1.0
HCG96b,23:28:05.92,+08:46:06.9,352.0246666666667,8.768583333333334,,8616,0.02874,1.4E-4,,0.62,0.47
HCG96c,23:27:58.78,+08:46:58.1,351.99491666666665,8.782805555555555,,8852,0.029527,3.3E-5,,0.41,0.29
HCG96d,23:28:00.20,+08:46:02.4,352.00083333333333,8.767333333333335,,8975,0.029937,1.9E-4,,0.22,0.12
HCG97a,23:47:22.99,-02:18:02.4,356.8457916666667,-2.3006666666666664,,6932,0.023123,7.3E-5,,1.7,1.1
HCG97b,23:47:37.86,-02:19:00.0,356.90774999999996,-2.316666666666666,,6666,0.022235,7.0E-5,,1.06,0.12
HCG97c,23:47:23.79,-02:21:04.5,356.849125,-2.3512500000000003,,6003,0.020024,8.7E-5,,0.78,0.49
HCG97d,23:47:18.93,-02:18:48.6,356.828875,-2.3135,,6328,0.021108,1.0E-4,,0.94,0.82
HCG97e,23:47:19.90,-02:16:50.4,356.8329166666667,-2.280666666666667,,6665,0.022232,8.0E-5,,0.39,0.33
HCG99a,00:00:37.94,+28:23:04.4,0.15808333333333333,28.384555555555554,,8705,0.029037,3.0E-5,,1.1,0.4
HCG99b,00:00:46.96,+28:24:07.3,0.19566666666666666,28.402027777777782,,8764,0.029234,6.3E-5,,1.0,0.9
HCG99c,00:00:44.00,+28:24:05.2,0.18333333333333332,28.40144444444444,,8157,0.027209,1.07E-4,,0.8,0.4
HCG99d,00:00:45.09,+28:22:18.2,0.18787500000000001,28.371722222222218,,8643,0.02883,2.74E-4,,0.72,0.46
HCG99e,00:00:42.41,+28:22:08.4,0.17670833333333333,28.369,,9007,0.030044,3.2E-4,,0.38,0.3
HCG100a,00:01:19.97,+13:06:40.5,0.33320833333333333,13.11125,,5366,0.017899,2.0E-5,,1.0,0.6
HCG100b,00:01:26.04,+13:06:46.8,0.35850000000000004,13.113,,5256,0.017532,1.17E-4,,0.58,0.52
HCG100c,00:01:13.38,+13:08:38.6,0.30575,13.144055555555555,,5461,0.018216,1.27E-4,,0.9,0.5
HCG100d,00:01:14.97,+13:06:45.2,0.312375,13.112555555555554,,5590,0.018646,1.07E-4,,0.53,0.20
